nSeq,I1, I2, O1, O2,A3,A3_filtrado,A3_normalizado
0,0,0,0,0,168,168,-2.880271819687669
1,0,0,0,0,168,168,-2.880271819687669
2,0,0,0,0,168,168,-2.880271819687669
3,0,0,0,0,168,168,-2.880271819687669
4,0,0,0,0,168,168,-2.880271819687669
5,0,0,0,0,168,168,-2.880271819687669
6,0,0,0,0,168,168,-2.880271819687669
7,0,0,0,0,168,168,-2.880271819687669
8,0,0,0,0,168,168,-2.880271819687669
9,0,0,0,0,168,168,-2.880271819687669
10,0,0,0,0,168,168,-2.880271819687669
11,0,0,0,0,168,168,-2.880271819687669
12,0,0,0,0,168,168,-2.880271819687669
13,0,0,0,0,168,168,-2.880271819687669
14,0,0,0,0,168,168,-2.880271819687669
15,0,0,0,0,168,168,-2.880271819687669
0,0,0,0,0,168,168,-2.880271819687669
1,0,0,0,0,168,168,-2.880271819687669
2,0,0,0,0,168,168,-2.880271819687669
3,0,0,0,0,168,168,-2.880271819687669
4,0,0,0,0,168,168,-2.880271819687669
5,0,0,0,0,168,168,-2.880271819687669
6,0,0,0,0,168,168,-2.880271819687669
7,0,0,0,0,168,168,-2.880271819687669
8,0,0,0,0,168,168,-2.880271819687669
9,0,0,0,0,168,168,-2.880271819687669
10,0,0,0,0,168,168,-2.880271819687669
11,0,0,0,0,168,168,-2.880271819687669
12,0,0,0,0,168,168,-2.880271819687669
13,0,0,0,0,168,168,-2.880271819687669
14,0,0,0,0,168,168,-2.880271819687669
15,0,0,0,0,168,168,-2.880271819687669
0,0,0,0,0,168,168,-2.880271819687669
1,0,0,0,0,168,168,-2.880271819687669
2,0,0,0,0,168,168,-2.880271819687669
3,0,0,0,0,168,168,-2.880271819687669
4,0,0,0,0,168,168,-2.880271819687669
5,0,0,0,0,168,168,-2.880271819687669
6,0,0,0,0,168,168,-2.880271819687669
7,0,0,0,0,168,168,-2.880271819687669
8,0,0,0,0,168,168,-2.880271819687669
9,0,0,0,0,168,168,-2.880271819687669
10,0,0,0,0,168,168,-2.880271819687669
11,0,0,0,0,168,168,-2.880271819687669
12,0,0,0,0,168,168,-2.880271819687669
13,0,0,0,0,168,168,-2.880271819687669
14,0,0,0,0,168,168,-2.880271819687669
15,0,0,0,0,168,168,-2.880271819687669
0,0,0,0,0,168,168,-2.880271819687669
1,0,0,0,0,168,168,-2.880271819687669
2,0,0,0,0,168,168,-2.880271819687669
3,0,0,0,0,168,168,-2.880271819687669
4,0,0,0,0,168,168,-2.880271819687669
5,0,0,0,0,168,168,-2.880271819687669
6,0,0,0,0,168,168,-2.880271819687669
7,0,0,0,0,168,168,-2.880271819687669
8,0,0,0,0,168,168,-2.880271819687669
9,0,0,0,0,168,168,-2.880271819687669
10,0,0,0,0,168,168,-2.880271819687669
11,0,0,0,0,168,168,-2.880271819687669
12,0,0,0,0,168,168,-2.880271819687669
13,0,0,0,0,168,168,-2.880271819687669
14,0,0,0,0,168,168,-2.880271819687669
15,0,0,0,0,168,168,-2.880271819687669
0,0,0,0,0,168,168,-2.880271819687669
1,0,0,0,0,168,168,-2.880271819687669
2,0,0,0,0,168,168,-2.880271819687669
3,0,0,0,0,168,168,-2.880271819687669
4,0,0,0,0,168,168,-2.880271819687669
5,0,0,0,0,168,168,-2.880271819687669
6,0,0,0,0,168,168,-2.880271819687669
7,0,0,0,0,168,168,-2.880271819687669
8,0,0,0,0,168,168,-2.880271819687669
9,0,0,0,0,168,168,-2.880271819687669
10,0,0,0,0,168,168,-2.880271819687669
11,0,0,0,0,168,168,-2.880271819687669
12,0,0,0,0,168,168,-2.880271819687669
13,0,0,0,0,168,168,-2.880271819687669
14,0,0,0,0,168,168,-2.880271819687669
15,0,0,0,0,168,168,-2.880271819687669
0,0,0,0,0,168,168,-2.880271819687669
1,0,0,0,0,168,168,-2.880271819687669
2,0,0,0,0,168,168,-2.880271819687669
3,0,0,0,0,168,168,-2.880271819687669
4,0,0,0,0,168,168,-2.880271819687669
5,0,0,0,0,168,168,-2.880271819687669
6,0,0,0,0,168,168,-2.880271819687669
7,0,0,0,0,168,168,-2.880271819687669
8,0,0,0,0,168,168,-2.880271819687669
9,0,0,0,0,168,168,-2.880271819687669
10,0,0,0,0,168,168,-2.880271819687669
11,0,0,0,0,168,168,-2.880271819687669
12,0,0,0,0,168,168,-2.880271819687669
13,0,0,0,0,168,168,-2.880271819687669
14,0,0,0,0,168,168,-2.880271819687669
15,0,0,0,0,168,168,-2.880271819687669
0,0,0,0,0,168,168,-2.880271819687669
1,0,0,0,0,168,168,-2.880271819687669
2,0,0,0,0,168,168,-2.880271819687669
3,0,0,0,0,168,168,-2.880271819687669
4,0,0,0,0,168,168,-2.880271819687669
5,0,0,0,0,168,168,-2.880271819687669
6,0,0,0,0,168,168,-2.880271819687669
7,0,0,0,0,168,168,-2.880271819687669
8,0,0,0,0,168,168,-2.880271819687669
9,0,0,0,0,168,168,-2.880271819687669
10,0,0,0,0,168,168,-2.880271819687669
11,0,0,0,0,168,168,-2.880271819687669
12,0,0,0,0,168,168,-2.880271819687669
13,0,0,0,0,168,168,-2.880271819687669
14,0,0,0,0,168,168,-2.880271819687669
15,0,0,0,0,168,168,-2.880271819687669
0,0,0,0,0,168,168,-2.880271819687669
1,0,0,0,0,168,168,-2.880271819687669
2,0,0,0,0,168,168,-2.880271819687669
3,0,0,0,0,168,168,-2.880271819687669
4,0,0,0,0,168,168,-2.880271819687669
5,0,0,0,0,168,168,-2.880271819687669
6,0,0,0,0,168,168,-2.880271819687669
7,0,0,0,0,168,168,-2.880271819687669
8,0,0,0,0,168,168,-2.880271819687669
9,0,0,0,0,168,168,-2.880271819687669
10,0,0,0,0,168,168,-2.880271819687669
11,0,0,0,0,168,168,-2.880271819687669
12,0,0,0,0,168,168,-2.880271819687669
13,0,0,0,0,168,168,-2.880271819687669
14,0,0,0,0,168,168,-2.880271819687669
15,0,0,0,0,168,168,-2.880271819687669
0,0,0,0,0,168,168,-2.880271819687669
1,0,0,0,0,168,168,-2.880271819687669
2,0,0,0,0,168,168,-2.880271819687669
3,0,0,0,0,168,168,-2.880271819687669
4,0,0,0,0,168,168,-2.880271819687669
5,0,0,0,0,168,168,-2.880271819687669
6,0,0,0,0,168,168,-2.880271819687669
7,0,0,0,0,168,168,-2.880271819687669
8,0,0,0,0,168,168,-2.880271819687669
9,0,0,0,0,168,168,-2.880271819687669
10,0,0,0,0,168,168,-2.880271819687669
11,0,0,0,0,168,168,-2.880271819687669
12,0,0,0,0,168,168,-2.880271819687669
13,0,0,0,0,167,168,-2.880271819687669
14,0,0,0,0,168,168,-2.880271819687669
15,0,0,0,0,168,168,-2.880271819687669
0,0,0,0,0,168,168,-2.880271819687669
1,0,0,0,0,168,168,-2.880271819687669
2,0,0,0,0,168,168,-2.880271819687669
3,0,0,0,0,168,168,-2.880271819687669
4,0,0,0,0,168,168,-2.880271819687669
5,0,0,0,0,168,168,-2.880271819687669
6,0,0,0,0,168,168,-2.880271819687669
7,0,0,0,0,167,168,-2.880271819687669
8,0,0,0,0,168,168,-2.880271819687669
9,0,0,0,0,168,168,-2.880271819687669
10,0,0,0,0,168,168,-2.880271819687669
11,0,0,0,0,168,168,-2.880271819687669
12,0,0,0,0,167,167,-2.8968776584229405
13,0,0,0,0,167,167,-2.8968776584229405
14,0,0,0,0,167,167,-2.8968776584229405
15,0,0,0,0,167,167,-2.8968776584229405
0,0,0,0,0,168,167,-2.8968776584229405
1,0,0,0,0,167,167,-2.8968776584229405
2,0,0,0,0,167,167,-2.8968776584229405
3,0,0,0,0,167,167,-2.8968776584229405
4,0,0,0,0,168,168,-2.880271819687669
5,0,0,0,0,168,168,-2.880271819687669
6,0,0,0,0,167,167,-2.8968776584229405
7,0,0,0,0,167,167,-2.8968776584229405
8,0,0,0,0,168,168,-2.880271819687669
9,0,0,0,0,168,168,-2.880271819687669
10,0,0,0,0,168,168,-2.880271819687669
11,0,0,0,0,167,168,-2.880271819687669
12,0,0,0,0,168,167,-2.8968776584229405
13,0,0,0,0,167,168,-2.880271819687669
14,0,0,0,0,168,167,-2.8968776584229405
15,0,0,0,0,167,167,-2.8968776584229405
0,0,0,0,0,167,167,-2.8968776584229405
1,0,0,0,0,167,167,-2.8968776584229405
2,0,0,0,0,167,167,-2.8968776584229405
3,0,0,0,0,167,167,-2.8968776584229405
4,0,0,0,0,167,167,-2.8968776584229405
5,0,0,0,0,167,167,-2.8968776584229405
6,0,0,0,0,167,167,-2.8968776584229405
7,0,0,0,0,167,167,-2.8968776584229405
8,0,0,0,0,167,167,-2.8968776584229405
9,0,0,0,0,167,167,-2.8968776584229405
10,0,0,0,0,167,167,-2.8968776584229405
11,0,0,0,0,167,167,-2.8968776584229405
12,0,0,0,0,167,167,-2.8968776584229405
13,0,0,0,0,167,167,-2.8968776584229405
14,0,0,0,0,167,167,-2.8968776584229405
15,0,0,0,0,167,167,-2.8968776584229405
0,0,0,0,0,167,167,-2.8968776584229405
1,0,0,0,0,167,167,-2.8968776584229405
2,0,0,0,0,168,167,-2.8968776584229405
3,0,0,0,0,167,167,-2.8968776584229405
4,0,0,0,0,167,167,-2.8968776584229405
5,0,0,0,0,167,167,-2.8968776584229405
6,0,0,0,0,167,167,-2.8968776584229405
7,0,0,0,0,167,167,-2.8968776584229405
8,0,0,0,0,167,167,-2.8968776584229405
9,0,0,0,0,167,167,-2.8968776584229405
10,0,0,0,0,167,167,-2.8968776584229405
11,0,0,0,0,167,167,-2.8968776584229405
12,0,0,0,0,168,167,-2.8968776584229405
13,0,0,0,0,167,167,-2.8968776584229405
14,0,0,0,0,167,167,-2.8968776584229405
15,0,0,0,0,167,167,-2.8968776584229405
0,0,0,0,0,167,167,-2.8968776584229405
1,0,0,0,0,167,167,-2.8968776584229405
2,0,0,0,0,167,167,-2.8968776584229405
3,0,0,0,0,167,167,-2.8968776584229405
4,0,0,0,0,167,167,-2.8968776584229405
5,0,0,0,0,167,167,-2.8968776584229405
6,0,0,0,0,167,167,-2.8968776584229405
7,0,0,0,0,167,167,-2.8968776584229405
8,0,0,0,0,167,167,-2.8968776584229405
9,0,0,0,0,167,167,-2.8968776584229405
10,0,0,0,0,167,167,-2.8968776584229405
11,0,0,0,0,167,167,-2.8968776584229405
12,0,0,0,0,167,167,-2.8968776584229405
13,0,0,0,0,167,167,-2.8968776584229405
14,0,0,0,0,167,167,-2.8968776584229405
15,0,0,0,0,167,167,-2.8968776584229405
0,0,0,0,0,167,167,-2.8968776584229405
1,0,0,0,0,167,167,-2.8968776584229405
2,0,0,0,0,167,167,-2.8968776584229405
3,0,0,0,0,167,167,-2.8968776584229405
4,0,0,0,0,167,167,-2.8968776584229405
5,0,0,0,0,167,167,-2.8968776584229405
6,0,0,0,0,167,167,-2.8968776584229405
7,0,0,0,0,167,167,-2.8968776584229405
8,0,0,0,0,167,167,-2.8968776584229405
9,0,0,0,0,167,167,-2.8968776584229405
10,0,0,0,0,167,167,-2.8968776584229405
11,0,0,0,0,167,167,-2.8968776584229405
12,0,0,0,0,167,167,-2.8968776584229405
13,0,0,0,0,167,167,-2.8968776584229405
14,0,0,0,0,167,167,-2.8968776584229405
15,0,0,0,0,167,167,-2.8968776584229405
0,0,0,0,0,167,167,-2.8968776584229405
1,0,0,0,0,167,167,-2.8968776584229405
2,0,0,0,0,167,167,-2.8968776584229405
3,0,0,0,0,167,167,-2.8968776584229405
4,0,0,0,0,167,167,-2.8968776584229405
5,0,0,0,0,167,167,-2.8968776584229405
6,0,0,0,0,167,167,-2.8968776584229405
7,0,0,0,0,167,167,-2.8968776584229405
8,0,0,0,0,167,167,-2.8968776584229405
9,0,0,0,0,167,167,-2.8968776584229405
10,0,0,0,0,167,167,-2.8968776584229405
11,0,0,0,0,167,167,-2.8968776584229405
12,0,0,0,0,167,167,-2.8968776584229405
13,0,0,0,0,167,167,-2.8968776584229405
14,0,0,0,0,167,167,-2.8968776584229405
15,0,0,0,0,167,167,-2.8968776584229405
0,0,0,0,0,167,167,-2.8968776584229405
1,0,0,0,0,167,167,-2.8968776584229405
2,0,0,0,0,167,167,-2.8968776584229405
3,0,0,0,0,167,167,-2.8968776584229405
4,0,0,0,0,167,167,-2.8968776584229405
5,0,0,0,0,167,167,-2.8968776584229405
6,0,0,0,0,167,167,-2.8968776584229405
7,0,0,0,0,167,167,-2.8968776584229405
8,0,0,0,0,167,167,-2.8968776584229405
9,0,0,0,0,167,167,-2.8968776584229405
10,0,0,0,0,167,167,-2.8968776584229405
11,0,0,0,0,167,167,-2.8968776584229405
12,0,0,0,0,167,167,-2.8968776584229405
13,0,0,0,0,167,167,-2.8968776584229405
14,0,0,0,0,167,167,-2.8968776584229405
15,0,0,0,0,167,167,-2.8968776584229405
0,0,0,0,0,167,167,-2.8968776584229405
1,0,0,0,0,167,167,-2.8968776584229405
2,0,0,0,0,167,167,-2.8968776584229405
3,0,0,0,0,167,167,-2.8968776584229405
4,0,0,0,0,167,167,-2.8968776584229405
5,0,0,0,0,167,167,-2.8968776584229405
6,0,0,0,0,167,167,-2.8968776584229405
7,0,0,0,0,167,167,-2.8968776584229405
8,0,0,0,0,167,167,-2.8968776584229405
9,0,0,0,0,167,167,-2.8968776584229405
10,0,0,0,0,167,167,-2.8968776584229405
11,0,0,0,0,167,167,-2.8968776584229405
12,0,0,0,0,167,167,-2.8968776584229405
13,0,0,0,0,167,167,-2.8968776584229405
14,0,0,0,0,167,167,-2.8968776584229405
15,0,0,0,0,167,167,-2.8968776584229405
0,0,0,0,0,167,167,-2.8968776584229405
1,0,0,0,0,167,167,-2.8968776584229405
2,0,0,0,0,167,167,-2.8968776584229405
3,0,0,0,0,167,167,-2.8968776584229405
4,0,0,0,0,167,167,-2.8968776584229405
5,0,0,0,0,167,167,-2.8968776584229405
6,0,0,0,0,167,167,-2.8968776584229405
7,0,0,0,0,167,167,-2.8968776584229405
8,0,0,0,0,167,167,-2.8968776584229405
9,0,0,0,0,167,167,-2.8968776584229405
10,0,0,0,0,167,167,-2.8968776584229405
11,0,0,0,0,167,167,-2.8968776584229405
12,0,0,0,0,167,167,-2.8968776584229405
13,0,0,0,0,167,167,-2.8968776584229405
14,0,0,0,0,167,167,-2.8968776584229405
15,0,0,0,0,167,167,-2.8968776584229405
0,0,0,0,0,167,167,-2.8968776584229405
1,0,0,0,0,167,167,-2.8968776584229405
2,0,0,0,0,167,167,-2.8968776584229405
3,0,0,0,0,167,167,-2.8968776584229405
4,0,0,0,0,167,167,-2.8968776584229405
5,0,0,0,0,167,167,-2.8968776584229405
6,0,0,0,0,167,167,-2.8968776584229405
7,0,0,0,0,167,167,-2.8968776584229405
8,0,0,0,0,167,167,-2.8968776584229405
9,0,0,0,0,167,167,-2.8968776584229405
10,0,0,0,0,167,167,-2.8968776584229405
11,0,0,0,0,167,167,-2.8968776584229405
12,0,0,0,0,167,167,-2.8968776584229405
13,0,0,0,0,167,167,-2.8968776584229405
14,0,0,0,0,167,167,-2.8968776584229405
15,0,0,0,0,167,167,-2.8968776584229405
0,0,0,0,0,167,167,-2.8968776584229405
1,0,0,0,0,167,167,-2.8968776584229405
2,0,0,0,0,167,167,-2.8968776584229405
3,0,0,0,0,167,167,-2.8968776584229405
4,0,0,0,0,167,167,-2.8968776584229405
5,0,0,0,0,167,167,-2.8968776584229405
6,0,0,0,0,167,167,-2.8968776584229405
7,0,0,0,0,167,167,-2.8968776584229405
8,0,0,0,0,167,167,-2.8968776584229405
9,0,0,0,0,167,167,-2.8968776584229405
10,0,0,0,0,167,167,-2.8968776584229405
11,0,0,0,0,167,167,-2.8968776584229405
12,0,0,0,0,167,167,-2.8968776584229405
13,0,0,0,0,167,167,-2.8968776584229405
14,0,0,0,0,167,167,-2.8968776584229405
15,0,0,0,0,167,167,-2.8968776584229405
0,0,0,0,0,167,167,-2.8968776584229405
1,0,0,0,0,167,167,-2.8968776584229405
2,0,0,0,0,167,167,-2.8968776584229405
3,0,0,0,0,167,167,-2.8968776584229405
4,0,0,0,0,167,167,-2.8968776584229405
5,0,0,0,0,167,167,-2.8968776584229405
6,0,0,0,0,167,167,-2.8968776584229405
7,0,0,0,0,167,167,-2.8968776584229405
8,0,0,0,0,167,167,-2.8968776584229405
9,0,0,0,0,167,167,-2.8968776584229405
10,0,0,0,0,167,167,-2.8968776584229405
11,0,0,0,0,167,167,-2.8968776584229405
12,0,0,0,0,167,167,-2.8968776584229405
13,0,0,0,0,167,167,-2.8968776584229405
14,0,0,0,0,167,167,-2.8968776584229405
15,0,0,0,0,167,167,-2.8968776584229405
0,0,0,0,0,167,167,-2.8968776584229405
1,0,0,0,0,167,167,-2.8968776584229405
2,0,0,0,0,167,167,-2.8968776584229405
3,0,0,0,0,167,167,-2.8968776584229405
4,0,0,0,0,167,167,-2.8968776584229405
5,0,0,0,0,167,167,-2.8968776584229405
6,0,0,0,0,167,167,-2.8968776584229405
7,0,0,0,0,167,167,-2.8968776584229405
8,0,0,0,0,167,167,-2.8968776584229405
9,0,0,0,0,167,167,-2.8968776584229405
10,0,0,0,0,167,167,-2.8968776584229405
11,0,0,0,0,167,167,-2.8968776584229405
12,0,0,0,0,167,167,-2.8968776584229405
13,0,0,0,0,167,167,-2.8968776584229405
14,0,0,0,0,167,167,-2.8968776584229405
15,0,0,0,0,167,167,-2.8968776584229405
0,0,0,0,0,167,167,-2.8968776584229405
1,0,0,0,0,167,167,-2.8968776584229405
2,0,0,0,0,167,167,-2.8968776584229405
3,0,0,0,0,167,167,-2.8968776584229405
4,0,0,0,0,167,167,-2.8968776584229405
5,0,0,0,0,167,167,-2.8968776584229405
6,0,0,0,0,167,167,-2.8968776584229405
7,0,0,0,0,167,167,-2.8968776584229405
8,0,0,0,0,167,167,-2.8968776584229405
9,0,0,0,0,167,167,-2.8968776584229405
10,0,0,0,0,167,167,-2.8968776584229405
11,0,0,0,0,167,167,-2.8968776584229405
12,0,0,0,0,167,167,-2.8968776584229405
13,0,0,0,0,167,167,-2.8968776584229405
14,0,0,0,0,167,167,-2.8968776584229405
15,0,0,0,0,167,167,-2.8968776584229405
0,0,0,0,0,167,167,-2.8968776584229405
1,0,0,0,0,167,167,-2.8968776584229405
2,0,0,0,0,167,167,-2.8968776584229405
3,0,0,0,0,167,167,-2.8968776584229405
4,0,0,0,0,167,167,-2.8968776584229405
5,0,0,0,0,167,167,-2.8968776584229405
6,0,0,0,0,167,167,-2.8968776584229405
7,0,0,0,0,167,167,-2.8968776584229405
8,0,0,0,0,167,167,-2.8968776584229405
9,0,0,0,0,167,167,-2.8968776584229405
10,0,0,0,0,167,167,-2.8968776584229405
11,0,0,0,0,167,167,-2.8968776584229405
12,0,0,0,0,167,167,-2.8968776584229405
13,0,0,0,0,167,167,-2.8968776584229405
14,0,0,0,0,167,167,-2.8968776584229405
15,0,0,0,0,167,167,-2.8968776584229405
0,0,0,0,0,167,167,-2.8968776584229405
1,0,0,0,0,167,167,-2.8968776584229405
2,0,0,0,0,167,167,-2.8968776584229405
3,0,0,0,0,167,167,-2.8968776584229405
4,0,0,0,0,167,167,-2.8968776584229405
5,0,0,0,0,167,167,-2.8968776584229405
6,0,0,0,0,167,167,-2.8968776584229405
7,0,0,0,0,167,167,-2.8968776584229405
8,0,0,0,0,167,167,-2.8968776584229405
9,0,0,0,0,167,167,-2.8968776584229405
10,0,0,0,0,167,167,-2.8968776584229405
11,0,0,0,0,167,167,-2.8968776584229405
12,0,0,0,0,167,167,-2.8968776584229405
13,0,0,0,0,167,167,-2.8968776584229405
14,0,0,0,0,167,167,-2.8968776584229405
15,0,0,0,0,167,167,-2.8968776584229405
0,0,0,0,0,167,167,-2.8968776584229405
1,0,0,0,0,167,167,-2.8968776584229405
2,0,0,0,0,167,167,-2.8968776584229405
3,0,0,0,0,167,167,-2.8968776584229405
4,0,0,0,0,167,167,-2.8968776584229405
5,0,0,0,0,167,167,-2.8968776584229405
6,0,0,0,0,167,167,-2.8968776584229405
7,0,0,0,0,167,167,-2.8968776584229405
8,0,0,0,0,167,167,-2.8968776584229405
9,0,0,0,0,167,167,-2.8968776584229405
10,0,0,0,0,167,167,-2.8968776584229405
11,0,0,0,0,167,167,-2.8968776584229405
12,0,0,0,0,167,167,-2.8968776584229405
13,0,0,0,0,167,167,-2.8968776584229405
14,0,0,0,0,167,167,-2.8968776584229405
15,0,0,0,0,167,167,-2.8968776584229405
0,0,0,0,0,167,167,-2.8968776584229405
1,0,0,0,0,167,167,-2.8968776584229405
2,0,0,0,0,167,167,-2.8968776584229405
3,0,0,0,0,167,167,-2.8968776584229405
4,0,0,0,0,167,167,-2.8968776584229405
5,0,0,0,0,167,167,-2.8968776584229405
6,0,0,0,0,167,167,-2.8968776584229405
7,0,0,0,0,167,167,-2.8968776584229405
8,0,0,0,0,167,167,-2.8968776584229405
9,0,0,0,0,167,167,-2.8968776584229405
10,0,0,0,0,167,167,-2.8968776584229405
11,0,0,0,0,167,167,-2.8968776584229405
12,0,0,0,0,167,167,-2.8968776584229405
13,0,0,0,0,167,167,-2.8968776584229405
14,0,0,0,0,167,167,-2.8968776584229405
15,0,0,0,0,167,167,-2.8968776584229405
0,0,0,0,0,167,167,-2.8968776584229405
1,0,0,0,0,167,167,-2.8968776584229405
2,0,0,0,0,167,167,-2.8968776584229405
3,0,0,0,0,167,167,-2.8968776584229405
4,0,0,0,0,167,167,-2.8968776584229405
5,0,0,0,0,167,167,-2.8968776584229405
6,0,0,0,0,167,167,-2.8968776584229405
7,0,0,0,0,167,167,-2.8968776584229405
8,0,0,0,0,167,167,-2.8968776584229405
9,0,0,0,0,167,167,-2.8968776584229405
10,0,0,0,0,166,167,-2.8968776584229405
11,0,0,0,0,167,167,-2.8968776584229405
12,0,0,0,0,167,167,-2.8968776584229405
13,0,0,0,0,166,167,-2.8968776584229405
14,0,0,0,0,167,167,-2.8968776584229405
15,0,0,0,0,167,167,-2.8968776584229405
0,0,0,0,0,167,167,-2.8968776584229405
1,0,0,0,0,167,167,-2.8968776584229405
2,0,0,0,0,167,167,-2.8968776584229405
3,0,0,0,0,167,167,-2.8968776584229405
4,0,0,0,0,167,167,-2.8968776584229405
5,0,0,0,0,167,167,-2.8968776584229405
6,0,0,0,0,167,167,-2.8968776584229405
7,0,0,0,0,167,167,-2.8968776584229405
8,0,0,0,0,167,167,-2.8968776584229405
9,0,0,0,0,167,167,-2.8968776584229405
10,0,0,0,0,167,167,-2.8968776584229405
11,0,0,0,0,167,167,-2.8968776584229405
12,0,0,0,0,166,166,-2.9134834971582118
13,0,0,0,0,166,166,-2.9134834971582118
14,0,0,0,0,166,166,-2.9134834971582118
15,0,0,0,0,166,166,-2.9134834971582118
0,0,0,0,0,167,166,-2.9134834971582118
1,0,0,0,0,166,166,-2.9134834971582118
2,0,0,0,0,166,166,-2.9134834971582118
3,0,0,0,0,167,167,-2.8968776584229405
4,0,0,0,0,167,167,-2.8968776584229405
5,0,0,0,0,166,166,-2.9134834971582118
6,0,0,0,0,166,166,-2.9134834971582118
7,0,0,0,0,167,167,-2.8968776584229405
8,0,0,0,0,167,167,-2.8968776584229405
9,0,0,0,0,167,167,-2.8968776584229405
10,0,0,0,0,167,167,-2.8968776584229405
11,0,0,0,0,166,167,-2.8968776584229405
12,0,0,0,0,167,166,-2.9134834971582118
13,0,0,0,0,166,166,-2.9134834971582118
14,0,0,0,0,166,166,-2.9134834971582118
15,0,0,0,0,166,166,-2.9134834971582118
0,0,0,0,0,166,166,-2.9134834971582118
1,0,0,0,0,166,166,-2.9134834971582118
2,0,0,0,0,166,166,-2.9134834971582118
3,0,0,0,0,166,166,-2.9134834971582118
4,0,0,0,0,166,166,-2.9134834971582118
5,0,0,0,0,166,166,-2.9134834971582118
6,0,0,0,0,166,166,-2.9134834971582118
7,0,0,0,0,166,166,-2.9134834971582118
8,0,0,0,0,167,166,-2.9134834971582118
9,0,0,0,0,166,166,-2.9134834971582118
10,0,0,0,0,166,166,-2.9134834971582118
11,0,0,0,0,166,166,-2.9134834971582118
12,0,0,0,0,167,167,-2.8968776584229405
13,0,0,0,0,167,167,-2.8968776584229405
14,0,0,0,0,167,167,-2.8968776584229405
15,0,0,0,0,166,166,-2.9134834971582118
0,0,0,0,0,166,166,-2.9134834971582118
1,0,0,0,0,167,167,-2.8968776584229405
2,0,0,0,0,167,167,-2.8968776584229405
3,0,0,0,0,166,166,-2.9134834971582118
4,0,0,0,0,166,166,-2.9134834971582118
5,0,0,0,0,166,166,-2.9134834971582118
6,0,0,0,0,166,166,-2.9134834971582118
7,0,0,0,0,166,166,-2.9134834971582118
8,0,0,0,0,166,166,-2.9134834971582118
9,0,0,0,0,166,166,-2.9134834971582118
10,0,0,0,0,166,166,-2.9134834971582118
11,0,0,0,0,166,166,-2.9134834971582118
12,0,0,0,0,167,166,-2.9134834971582118
13,0,0,0,0,166,166,-2.9134834971582118
14,0,0,0,0,166,166,-2.9134834971582118
15,0,0,0,0,166,166,-2.9134834971582118
0,0,0,0,0,166,166,-2.9134834971582118
1,0,0,0,0,166,166,-2.9134834971582118
2,0,0,0,0,166,166,-2.9134834971582118
3,0,0,0,0,166,166,-2.9134834971582118
4,0,0,0,0,166,166,-2.9134834971582118
5,0,0,0,0,166,166,-2.9134834971582118
6,0,0,0,0,167,166,-2.9134834971582118
7,0,0,0,0,166,166,-2.9134834971582118
8,0,0,0,0,166,166,-2.9134834971582118
9,0,0,0,0,166,166,-2.9134834971582118
10,0,0,0,0,166,166,-2.9134834971582118
11,0,0,0,0,166,166,-2.9134834971582118
12,0,0,0,0,166,166,-2.9134834971582118
13,0,0,0,0,166,166,-2.9134834971582118
14,0,0,0,0,166,166,-2.9134834971582118
15,0,0,0,0,166,166,-2.9134834971582118
0,0,0,0,0,167,166,-2.9134834971582118
1,0,0,0,0,166,166,-2.9134834971582118
2,0,0,0,0,166,166,-2.9134834971582118
3,0,0,0,0,166,166,-2.9134834971582118
4,0,0,0,0,166,166,-2.9134834971582118
5,0,0,0,0,166,166,-2.9134834971582118
6,0,0,0,0,166,166,-2.9134834971582118
7,0,0,0,0,166,166,-2.9134834971582118
8,0,0,0,0,166,166,-2.9134834971582118
9,0,0,0,0,166,166,-2.9134834971582118
10,0,0,0,0,167,166,-2.9134834971582118
11,0,0,0,0,166,166,-2.9134834971582118
12,0,0,0,0,166,166,-2.9134834971582118
13,0,0,0,0,166,166,-2.9134834971582118
14,0,0,0,0,166,166,-2.9134834971582118
15,0,0,0,0,166,166,-2.9134834971582118
0,0,0,0,0,166,166,-2.9134834971582118
1,0,0,0,0,166,166,-2.9134834971582118
2,0,0,0,0,166,166,-2.9134834971582118
3,0,0,0,0,166,166,-2.9134834971582118
4,0,0,0,0,166,166,-2.9134834971582118
5,0,0,0,0,166,166,-2.9134834971582118
6,0,0,0,0,166,166,-2.9134834971582118
7,0,0,0,0,166,166,-2.9134834971582118
8,0,0,0,0,166,166,-2.9134834971582118
9,0,0,0,0,166,166,-2.9134834971582118
10,0,0,0,0,166,166,-2.9134834971582118
11,0,0,0,0,166,166,-2.9134834971582118
12,0,0,0,0,166,166,-2.9134834971582118
13,0,0,0,0,166,166,-2.9134834971582118
14,0,0,0,0,166,166,-2.9134834971582118
15,0,0,0,0,166,166,-2.9134834971582118
0,0,0,0,0,166,166,-2.9134834971582118
1,0,0,0,0,166,166,-2.9134834971582118
2,0,0,0,0,166,166,-2.9134834971582118
3,0,0,0,0,166,166,-2.9134834971582118
4,0,0,0,0,166,166,-2.9134834971582118
5,0,0,0,0,166,166,-2.9134834971582118
6,0,0,0,0,166,166,-2.9134834971582118
7,0,0,0,0,166,166,-2.9134834971582118
8,0,0,0,0,166,166,-2.9134834971582118
9,0,0,0,0,166,166,-2.9134834971582118
10,0,0,0,0,166,166,-2.9134834971582118
11,0,0,0,0,166,166,-2.9134834971582118
